#,symbol,pattern_type,entry_date,entry_price,exit_date,exit_price,return_pct,pnl,stop_loss,target_price,confidence,exit_reason,qu100_rank,shares,allocated_amount
1,DVN,false_breakdown_w_bottom,2022-05-26,61.19,2022-06-07,64.69,0.0573,1.15,52.01,64.48,0.8825,target_hit,17,0.3284,20.09
2,PDD,false_breakdown_w_bottom,2022-05-27,48.30,2022-06-08,64.95,0.3447,7.02,41.05,60.39,0.9825,target_hit,4,0.4217,20.37
3,ALB,false_breakdown_w_bottom,2022-05-31,247.34,2022-06-13,210.24,-0.1500,-3.07,210.24,283.40,0.9325,stop_loss,8,0.0828,20.47
4,STNE,false_breakdown,2022-06-10,9.07,2022-06-16,7.71,-0.1500,-3.14,7.71,12.76,0.9000,stop_loss,19,2.3096,20.95
5,MRK,false_breakdown_w_bottom,2022-06-13,75.27,2022-06-21,78.59,0.0441,0.87,63.98,78.55,0.7825,target_hit,2,0.2634,19.83
6,NMM,false_breakdown_w_bottom,2022-06-16,24.79,2022-07-05,21.07,-0.1500,-2.95,21.07,31.48,0.9825,stop_loss,20,0.7937,19.68
7,KWEB,false_breakdown,2022-06-07,28.67,2022-08-01,24.37,-0.1500,-3.19,24.37,32.69,0.8500,stop_loss,18,0.7410,21.24
8,ENPH,false_breakdown_w_bottom,2022-08-02,292.26,2022-08-04,295.82,0.0122,0.22,248.42,295.36,0.9825,target_hit,5,0.0618,18.06
9,ET,false_breakdown_w_bottom,2022-08-04,8.14,2022-08-11,8.60,0.0561,1.02,6.92,8.55,0.9825,target_hit,3,2.2456,18.28
10,ASHR,false_breakdown,2022-06-21,30.56,2022-09-22,25.98,-0.1500,-3.04,25.98,33.94,0.8500,stop_loss,5,0.6625,20.25
11,PBR,false_breakdown_w_bottom,2022-08-11,6.74,2022-10-21,8.65,0.2840,5.48,5.73,8.41,0.9825,target_hit,1,2.8647,19.30
12,FXI,false_breakdown,2022-09-23,24.21,2022-10-24,20.57,-0.1500,-2.58,20.57,26.96,0.8500,stop_loss,12,0.7110,17.21
13,MCD,false_breakdown,2022-06-02,228.47,2022-10-28,253.27,0.1085,2.07,194.20,246.47,0.8500,target_hit,12,0.0835,19.07
14,GIS,false_breakdown_w_bottom,2022-07-06,66.38,2022-11-21,72.41,0.0908,1.75,56.42,72.23,0.9325,target_hit,16,0.2911,19.32
15,VSCO,false_breakdown,2022-10-24,37.51,2023-01-05,31.88,-0.1500,-2.89,31.88,55.61,0.9000,stop_loss,18,0.5141,19.28
16,PBR,false_breakdown_w_bottom,2022-11-21,6.15,2023-06-06,8.55,0.3920,8.26,5.22,8.41,0.9325,target_hit,1,3.4297,21.08
17,AAPL,false_breakdown,2022-05-25,137.88,2023-06-30,191.46,0.3886,7.77,117.20,190.92,0.8500,target_hit,1,0.1451,20.00
18,CZR,false_breakdown_w_bottom,2022-10-28,44.10,2023-07-18,56.35,0.2778,5.87,37.48,56.17,0.9325,target_hit,7,0.4794,21.14
19,NIO,false_breakdown_w_bottom,2023-07-03,10.03,2023-09-19,8.53,-0.1500,-3.70,8.53,25.98,0.9825,stop_loss,19,2.4576,24.65
20,DGX,false_breakdown_w_bottom,2023-01-13,138.64,2023-09-21,117.84,-0.1500,-2.46,117.84,150.44,0.9825,stop_loss,16,0.1182,16.39
21,INTC,false_breakdown_w_bottom,2022-10-21,25.66,2023-11-16,42.78,0.6671,13.43,21.81,40.11,0.9825,target_hit,2,0.7845,20.13
22,GDX,false_breakdown_w_bottom,2023-11-16,27.62,2023-12-01,30.71,0.1118,3.04,23.48,30.56,0.9825,target_hit,13,0.9841,27.18
23,UBER,false_breakdown_w_bottom,2023-09-21,44.60,2023-12-06,59.75,0.3397,7.05,37.91,58.99,0.9825,target_hit,17,0.4652,20.75
24,KRE,false_breakdown_w_bottom,2023-12-01,44.27,2023-12-08,45.70,0.0322,0.92,37.63,45.47,0.9825,target_hit,7,0.6429,28.46
25,FIS,false_breakdown_w_bottom,2023-12-06,55.62,2023-12-13,57.10,0.0267,0.77,47.28,56.43,0.9825,target_hit,9,0.5213,28.99
26,BLK,false_breakdown_w_bottom,2023-06-06,638.20,2023-12-14,768.19,0.2037,4.76,542.47,742.31,0.9825,target_hit,7,0.0366,23.37
27,ASML,false_breakdown_w_bottom,2023-09-20,577.40,2023-12-21,741.19,0.2837,6.85,490.79,740.69,0.9825,target_hit,5,0.0418,24.14
28,BAC,false_breakdown_w_bottom,2023-12-14,32.17,2024-01-05,32.63,0.0144,0.44,27.34,32.41,0.9825,target_hit,15,0.9423,30.31
29,SRPT,false_breakdown_w_bottom,2024-01-09,119.77,2024-02-27,141.53,0.1817,5.47,101.80,137.41,0.9825,target_hit,10,0.2512,30.09
30,OIH,false_breakdown_w_bottom,2023-12-15,294.58,2024-04-03,335.91,0.1403,4.23,250.39,334.33,0.9825,target_hit,5,0.1023,30.15
31,SLV,false_breakdown_w_bottom,2024-04-04,24.49,2024-04-08,25.40,0.0372,1.17,20.82,25.34,0.9825,target_hit,10,1.2900,31.59
32,CCI,false_breakdown_w_bottom,2023-12-13,101.97,2024-04-12,86.67,-0.1500,-4.50,86.67,114.63,0.9825,stop_loss,1,0.2944,30.01
33,CVS,false_breakdown_w_bottom,2023-07-19,66.78,2024-05-01,56.76,-0.1500,-3.92,56.76,95.55,0.9825,stop_loss,6,0.3909,26.10
34,BABA,false_breakdown_w_bottom,2024-05-02,77.31,2024-05-13,81.42,0.0532,1.57,65.72,81.15,0.9825,target_hit,4,0.3825,29.57
35,AAPL,false_breakdown,2024-04-11,173.46,2024-06-03,192.54,0.1100,3.50,147.44,190.92,0.9000,target_hit,2,0.1833,31.79
36,TSM,false_breakdown_w_bottom,2024-03-06,137.35,2024-06-10,163.81,0.1926,5.96,116.75,163.78,0.9825,target_hit,12,0.2253,30.94
37,ADBE,false_breakdown_w_bottom,2024-05-14,475.95,2024-06-14,525.31,0.1037,3.23,404.56,486.38,0.9825,target_hit,15,0.0654,31.14
38,UNH,false_breakdown_w_bottom,2024-06-14,475.88,2024-07-16,527.64,0.1088,3.61,404.49,513.94,0.9325,target_hit,3,0.0697,33.17
39,COIN,false_breakdown_w_bottom,2024-07-17,249.10,2024-07-22,265.15,0.0644,2.21,211.74,261.64,0.9825,target_hit,1,0.1374,34.22
40,OXY,false_breakdown_w_bottom,2024-04-12,66.37,2024-08-02,56.42,-0.1500,-4.69,56.42,72.78,0.9825,stop_loss,8,0.4712,31.28
41,AMZN,false_breakdown_w_bottom,2024-06-26,193.61,2024-08-02,164.57,-0.1500,-5.01,164.57,213.22,0.9825,stop_loss,1,0.1727,33.43
42,UVXY,false_breakdown_w_bottom,2024-08-02,195.10,2024-08-09,165.84,-0.1500,-4.91,165.84,4565.00,0.9825,stop_loss,7,0.1677,32.73
43,BABA,false_breakdown_w_bottom,2024-07-29,77.31,2024-08-16,81.80,0.0580,1.98,65.72,81.15,0.9825,target_hit,12,0.4426,34.22
44,CRM,false_breakdown_w_bottom,2024-06-03,234.08,2024-09-25,272.00,0.1620,5.14,198.97,268.27,0.9825,target_hit,12,0.1355,31.72
45,CPRI,false_breakdown_w_bottom,2024-08-21,35.44,2024-10-29,30.12,-0.1500,-4.91,30.12,48.33,0.9825,stop_loss,15,0.9241,32.75
46,U,false_breakdown_w_bottom,2024-09-25,21.89,2024-11-15,18.61,-0.1500,-5.12,18.61,41.14,0.9825,stop_loss,6,1.5606,34.16
47,SNOW,false_breakdown_w_bottom,2024-08-26,118.00,2024-11-21,171.35,0.4521,14.83,100.30,171.13,0.9825,target_hit,20,0.2780,32.81
48,COST,false_breakdown_w_bottom,2024-11-21,949.39,2024-12-05,975.83,0.0278,0.97,806.98,972.79,0.9825,target_hit,9,0.0368,34.97
49,BITX,false_breakdown_w_bottom,2024-12-05,53.55,2024-12-06,56.34,0.0521,1.86,45.52,54.63,0.9825,target_hit,16,0.6652,35.62
50,COIN,false_breakdown_w_bottom,2024-11-11,324.24,2025-01-21,275.60,-0.1500,-4.76,275.60,349.34,0.9825,stop_loss,1,0.0978,31.72
51,MIDD,false_breakdown_w_bottom,2025-01-23,145.65,2025-01-24,169.72,0.1653,5.63,123.80,157.01,0.9825,target_hit,6,0.2338,34.05
52,SBUX,false_breakdown_w_bottom,2024-08-13,91.70,2025-02-18,110.00,0.1996,6.50,77.94,109.59,0.9825,target_hit,5,0.3552,32.57
53,GOOGL,false_breakdown_w_bottom,2024-12-11,194.50,2025-03-03,165.33,-0.1500,-5.47,165.33,217.89,0.9825,stop_loss,2,0.1874,36.44
