#,symbol,pattern_type,entry_date,entry_price,exit_date,exit_price,return_pct,pnl,stop_loss,target_price,confidence,exit_reason,qu100_rank,shares,allocated_amount
1,DVN,false_breakdown_w_bottom,2022-05-26,61.19,2022-06-07,64.69,0.0573,1.15,55.68,64.48,0.8825,target_hit,17,0.3284,20.09
2,PDD,false_breakdown_w_bottom,2022-05-27,48.30,2022-06-08,64.95,0.3447,7.02,43.95,60.39,0.9825,target_hit,4,0.4217,20.37
3,ALB,false_breakdown_w_bottom,2022-05-31,247.34,2022-06-13,211.39,-0.1454,-2.98,225.08,283.40,0.9325,stop_loss,8,0.0828,20.47
4,STNE,false_breakdown,2022-06-10,9.07,2022-06-13,8.11,-0.1058,-2.22,8.25,12.76,0.9000,stop_loss,19,2.3096,20.95
5,MRK,false_breakdown_w_bottom,2022-06-13,75.27,2022-06-21,78.59,0.0441,0.88,68.49,78.55,0.7825,target_hit,2,0.2637,19.85
6,KWEB,false_breakdown,2022-06-07,28.67,2022-07-29,25.40,-0.1141,-2.42,26.09,32.69,0.8500,stop_loss,18,0.7410,21.24
7,ASHR,false_breakdown,2022-06-21,30.56,2022-08-30,27.75,-0.0921,-1.89,27.81,33.94,0.8500,stop_loss,5,0.6730,20.57
8,CHPT,false_breakdown_w_bottom,2022-07-29,302.20,2022-10-11,274.20,-0.0927,-2.00,275.00,390.80,0.9825,stop_loss,4,0.0715,21.60
9,LOW,false_breakdown_w_bottom,2022-08-30,184.02,2022-10-20,167.27,-0.0910,-1.73,167.46,210.64,0.9825,stop_loss,15,0.1034,19.02
10,MCD,false_breakdown,2022-06-02,228.47,2022-10-28,253.27,0.1085,2.07,207.91,246.47,0.8500,target_hit,12,0.0835,19.07
11,AAPL,false_breakdown,2022-05-25,137.88,2022-12-28,124.05,-0.1003,-2.01,125.47,190.92,0.8500,stop_loss,1,0.1451,20.00
12,CZR,false_breakdown_w_bottom,2022-10-28,44.10,2022-12-28,39.99,-0.0932,-1.93,40.13,56.17,0.9325,stop_loss,7,0.4705,20.75
13,MLCO,false_breakdown_w_bottom,2022-12-28,11.22,2023-01-03,11.98,0.0677,1.30,10.21,11.64,0.9325,target_hit,7,1.7105,19.19
14,ADI,false_breakdown,2022-06-13,138.55,2023-02-15,185.65,0.3399,6.75,126.08,179.97,0.7000,target_hit,1,0.1433,19.85
15,TTD,false_breakdown_w_bottom,2023-02-15,66.30,2023-02-17,60.30,-0.0905,-1.91,60.33,77.91,0.9825,stop_loss,6,0.3178,21.07
16,SRPT,false_breakdown_w_bottom,2022-12-29,127.26,2023-03-01,145.63,0.1444,2.60,115.81,137.41,0.9825,target_hit,11,0.1415,18.01
17,DGX,false_breakdown_w_bottom,2023-01-13,138.64,2023-03-13,125.25,-0.0966,-1.98,126.16,150.44,0.9825,stop_loss,16,0.1478,20.49
18,SQQQ,false_breakdown_w_bottom,2023-02-17,733.83,2023-03-21,662.04,-0.0978,-2.02,667.78,837.67,0.9825,stop_loss,4,0.0281,20.61
19,NIO,false_breakdown_w_bottom,2023-03-01,8.83,2023-04-25,7.90,-0.1053,-2.20,8.04,25.98,0.9825,stop_loss,16,2.3603,20.84
20,SQQQ,false_breakdown_w_bottom,2023-04-26,654.19,2023-04-28,589.28,-0.0992,-1.85,595.31,837.67,0.9825,stop_loss,8,0.0285,18.65
21,MO,false_breakdown_w_bottom,2023-03-22,34.97,2023-05-01,37.79,0.0808,1.63,31.82,37.63,0.9825,target_hit,2,0.5781,20.22
22,SNOW,false_breakdown_w_bottom,2023-03-13,137.73,2023-05-10,172.04,0.2491,5.17,125.33,171.13,0.9825,target_hit,17,0.1505,20.73
23,SLV,false_breakdown_w_bottom,2023-05-02,23.35,2023-05-24,21.16,-0.0938,-1.71,21.25,25.34,0.9825,stop_loss,10,0.7826,18.27
24,SQQQ,false_breakdown_w_bottom,2023-05-24,542.68,2023-05-26,466.17,-0.1410,-3.04,493.84,837.67,0.9825,stop_loss,19,0.0397,21.57
25,META,false_breakdown_w_bottom,2023-05-01,241.29,2023-07-12,306.93,0.2721,5.54,219.57,302.35,0.9825,target_hit,2,0.0844,20.37
26,MSFT,false_breakdown_w_bottom,2023-05-26,325.90,2023-07-18,351.94,0.0799,1.48,296.57,344.35,0.9825,target_hit,3,0.0569,18.53
27,CVS,false_breakdown_w_bottom,2023-07-19,66.78,2023-08-17,60.47,-0.0945,-2.12,60.77,95.55,0.9825,stop_loss,6,0.3363,22.46
28,ENVX,false_breakdown_w_bottom,2023-08-17,13.89,2023-09-20,12.46,-0.1030,-2.09,12.64,21.15,0.9825,stop_loss,13,1.4638,20.33
